accession,cluster
GCA_016628565.1,21
GCA_022578615.1,30
GCA_011801305.2,27
GCA_033819875.1,21
GCA_900002365.1,6
GCA_020500805.1,8
GCA_004679275.1,21
GCA_030061565.1,8
GCA_000977265.3,1
GCA_026024425.1,28
GCA_902827195.2,13
GCA_001654555.2,17
GCA_012656375.1,8
GCA_949121745.1,1
GCA_003850985.1,7
GCA_009193465.1,8
GCA_027603655.1,27
GCA_949124525.1,1
GCA_000524645.1,21
GCA_949124365.1,1
GCF_030869225.1,2
GCF_023757985.1,10
GCF_028826775.1,8
GCF_000026945.1,5
GCA_015501605.1,21
GCA_000616905.1,16
GCA_046127475.1,8
GCA_932563355.1,1
GCA_024704445.1,30
GCA_011763855.1,27
GCA_027924045.1,7
GCA_001660665.1,16
GCF_000709125.1,28
GCA_003046695.1,1
GCA_027575685.1,27
GCF_009193585.1,8
GCA_021442365.1,30
GCA_015501585.1,19
GCF_010015565.1,20
GCA_020502125.1,8
GCA_027578295.1,27
GCA_004917795.1,24
GCA_002307695.1,21
GCA_024613185.1,21
GCA_030553285.1,20
GCF_025201335.1,27
GCA_005059875.1,21
GCA_019677385.1,21
GCA_011951285.2,27
GCA_949126085.1,1
GCA_003070745.1,28
GCA_027577835.1,27
GCA_020744425.1,13
GCA_020579815.1,10
GCF_020536065.1,5
GCF_001890705.1,8
GCF_000171015.1,18
GCA_028827425.1,3
GCA_910592345.1,27
GCA_004307915.1,21
GCF_900007375.1,14
GCA_947370805.1,1
GCA_040438265.1,28
GCF_002846915.1,8
GCA_027577235.1,27
GCA_000750675.1,29
GCA_016758765.1,21
GCA_027596065.1,27
GCA_011763835.1,27
GCA_027604405.1,27
GCA_949124675.1,1
GCA_021527035.1,22
GCA_021436955.3,9
GCA_002222295.1,12
GCA_911175035.1,3
GCA_900074735.1,1
GCA_003426265.1,30
GCF_021365285.1,8
GCA_900074715.1,1
GCF_002079055.1,1
GCA_020499935.1,8
GCF_028828085.1,3
GCA_035931885.1,28
GCA_027945235.1,14
GCA_003339455.1,18
GCF_002865645.1,28
GCA_024244615.1,16
GCA_000325965.1,1
GCA_001700775.1,28
GCA_019924295.1,24
GCA_011066465.2,23
GCA_020617725.1,15
GCA_911175135.1,3
GCF_030347475.1,28
GCA_010015785.1,9
GCF_022478825.1,30
GCA_025331435.1,27
GCA_021066465.1,18
GCA_001466575.1,1
GCA_027577995.1,27
GCA_028974015.1,3
GCF_020647795.1,18
GCA_014904985.1,21
GCA_000599445.1,14
GCA_027604625.1,27
GCA_022813845.1,-1
GCA_036320685.1,20
GCA_011057905.1,13
GCA_020570345.1,10
GCA_023848595.1,24
GCA_020499815.1,8
GCA_006536045.1,27
GCA_027578255.1,15
GCA_010724915.1,8
GCA_024195585.1,24
GCA_035928205.1,28
GCA_024761945.1,20
GCA_019924995.1,24
GCA_027578795.1,27
GCA_000985935.1,8
GCA_030061595.1,8
GCA_038362765.1,30
GCA_030504495.1,6
GCA_026023805.1,28
GCA_027602705.1,27
GCA_004918335.1,-1
GCA_021399465.1,28
GCA_032988895.1,23
GCA_000769215.1,14
GCA_030060675.1,8
GCF_028858645.1,10
GCA_002938355.1,21
GCF_010093595.1,10
GCA_027577715.1,27
GCA_000260075.2,17
GCA_000389695.3,-1
GCA_030039255.1,12
GCA_015529505.1,26
GCA_000166155.1,16
GCA_000190255.1,1
GCF_003144205.1,6
GCA_009732865.1,28
GCA_025688805.1,8
GCA_000836335.2,12
GCA_021498335.1,28
GCA_020503015.1,8
GCA_002222465.1,12
GCA_019633555.1,21
GCA_011066575.1,0
GCA_003033665.1,14
GCA_028827235.1,3
GCA_022432365.1,30
GCA_003704585.1,20
GCA_001605315.2,21
GCA_003589665.1,8
GCA_028025565.1,28
GCA_022495175.1,13
GCA_022984935.1,30
GCA_020500605.1,8
GCA_905219655.1,21
GCA_003947045.1,18
GCA_037075405.1,8
GCF_038497785.1,4
GCA_030412055.1,20
GCA_019924355.1,24
GCA_022664585.2,30
GCF_000185945.1,12
GCF_013085055.1,17
GCA_900079185.1,27
GCA_004155035.1,30
GCA_015501065.1,21
GCA_025677815.1,27
GCA_008080495.1,13
GCA_030270365.1,9
GCA_022605405.1,21
GCA_039795395.1,13
GCA_004917495.1,24
GCF_035927965.1,20
GCA_001661315.1,5
GCA_000320605.2,21
GCF_000320565.1,20
GCA_000875795.1,12
GCA_027886465.1,19
GCA_002102555.1,27
GCA_911639145.1,3
GCA_002008015.1,5
GCF_042370625.1,25
GCA_019207595.1,5
GCA_043170715.1,20
GCA_018360855.1,11
GCA_003957675.1,18
GCA_024761515.1,20
GCA_022813885.1,-1
GCA_030247915.1,28
GCA_021399455.1,21
GCA_002846915.2,8
GCA_041438085.1,21
GCA_016097735.1,27
GCA_027578195.1,27
GCA_025677805.1,27
GCA_905332025.1,14
GCA_033439705.1,25
GCF_000820605.1,13
GCA_010093895.1,24
GCF_003144295.1,6
GCA_022385685.1,13
GCF_035658355.1,12
GCA_012295545.2,3
GCA_002705745.1,27
GCA_002104945.1,27
GCA_003704675.1,20
GCA_002215705.1,12
GCA_022495235.1,30
GCA_019925035.1,24
GCA_037954225.1,21
GCA_010093945.1,10
GCA_910591825.1,27
GCA_022829055.1,3
GCA_943733655.1,5
GCA_026054675.1,24
GCA_014281905.1,8
GCA_010724135.1,8
GCA_019925215.1,24
GCA_029378385.1,21
GCA_030267825.1,5
GCA_027579505.1,27
GCF_010015585.1,28
GCA_000442885.1,1
GCF_009556855.1,8
GCA_023168115.2,18
GCA_020747065.1,28
GCA_030867245.1,23
GCA_009428365.1,6
GCA_020617195.1,27
GCA_002759435.3,5
GCA_027886735.1,19
GCA_024762045.1,20
GCA_000260495.2,17
GCA_000829775.1,8
GCA_001713645.1,16
GCA_024867555.1,31
GCA_031205075.2,28
GCA_018360225.1,11
GCA_025528865.1,27
GCA_039105305.1,30
GCF_036810415.1,12
GCA_014461125.1,21
GCA_027627215.1,13
GCF_000187425.2,13
GCA_015039465.1,21
GCA_022814155.1,28
GCA_002222375.1,12
GCA_009805785.1,1
GCA_028856445.1,10
GCA_905068135.1,6
GCA_028829675.1,8
GCA_000710275.1,3
GCF_001761485.1,5
GCA_028026945.1,28
GCA_003073295.1,21
GCA_949125365.1,1
GCA_027923685.1,7
GCF_004154835.1,10
GCF_011074865.1,5
GCA_001630345.1,21
GCA_002240705.1,8
GCA_038497385.1,4
GCF_002072235.1,3
GCF_000149205.2,8
GCF_022829205.1,30
GCF_021901695.1,21
GCA_000002525.1,5
GCA_000365165.2,28
GCA_027600665.1,27
GCA_011763915.1,27
GCA_021399475.1,28
GCA_030553335.1,20
GCA_021365345.1,13
GCA_009663055.1,17
GCA_041121715.1,1
GCA_002591385.1,18
GCA_019633455.1,21
GCA_004917925.1,-1
GCA_015849335.1,26
GCA_025330725.1,27
GCA_033575675.1,25
GCF_020509005.1,20
GCA_949122005.1,1
GCA_004917975.1,-1
GCA_014839855.1,8
GCA_000184455.3,8
GCA_014462675.1,21
GCA_000616965.1,16
GCA_035928005.1,28
GCA_030867325.1,23
GCA_001513925.1,3
GCA_019206965.1,5
GCA_023065375.1,3
GCF_026229845.1,31
GCA_004918505.1,24
GCA_027917365.1,19
GCA_015039435.1,21
GCA_002222095.1,12
GCF_001641265.1,29
GCA_040256855.1,1
GCA_037074995.1,30
GCA_004156035.1,10
GCA_009805715.1,1
GCA_004917865.1,-1
GCA_947243795.1,1
GCA_026955015.1,27
GCA_000349305.2,6
GCA_027577455.1,27
GCA_000966595.1,20
GCA_910591945.1,27
GCF_016906535.1,21
GCA_032988205.1,16
GCA_019207965.1,5
GCA_949122065.1,1
GCA_022695765.1,30
GCA_001713695.1,16
GCA_000832345.2,21
GCF_000512585.2,12
GCA_023065655.1,3
GCA_001651435.1,16
GCA_000230395.2,7
GCA_019924825.1,24
GCA_013365075.1,5
GCA_023646395.1,28
GCF_003290485.1,6
GCA_022814085.1,28
GCA_002456175.2,8
GCF_038362585.1,30
GCA_027946515.1,31
GCA_900322975.1,6
GCA_011762635.1,27
GCA_019677325.2,21
GCA_022814175.1,28
GCA_020744155.1,18
GCA_027577255.1,27
GCA_027575425.1,15
GCA_003344705.1,7
GCA_043170745.1,16
GCF_003184585.1,8
GCA_042257975.1,8
GCA_042826995.1,31
GCA_007735645.1,-1
GCF_000150035.1,1
GCA_023748715.1,6
GCA_016097755.1,27
GCA_022813765.1,-1
GCA_000507465.4,12
GCA_019632305.1,21
GCA_012932255.1,23
GCA_027917355.1,19
GCA_000340195.1,20
GCA_004917505.1,24
GCA_964197705.1,8
GCF_000835555.1,28
GCA_029542865.1,6
GCA_018360825.1,11
GCA_030028065.1,28
GCF_028828015.1,8
GCA_000150505.2,28
GCA_008931885.1,9
GCF_001636725.1,13
GCA_019787685.1,21
GCA_022830545.1,16
GCA_027577795.1,27
GCA_001972345.1,1
GCF_028829835.1,3
GCA_026319245.1,23
GCA_041956445.1,25
GCF_036884685.1,5
GCA_022478735.1,13
GCA_022225965.2,30
GCF_022578515.1,30
GCA_027579785.1,27
GCA_030062345.1,8
GCA_029203985.1,21
GCA_004917685.1,24
GCA_001662575.1,29
GCA_022813065.1,10
GCA_027575375.1,27
GCA_002007995.1,5
GCA_935541525.1,5
GCA_041438055.1,21
GCA_030867305.1,23
GCF_016647635.1,21
GCF_003369625.1,8
GCF_028826855.1,3
GCA_001050175.1,13
GCF_028827395.1,3
GCF_038381095.1,9
GCF_001619985.1,28
GCF_001298625.1,1
GCF_001883845.1,9
GCA_022836575.1,23
GCA_025766305.1,27
GCA_027945555.1,17
GCA_001636675.1,13
GCA_040143875.1,13
GCA_040367835.1,27
GCA_001633055.2,18
GCA_029449355.1,8
GCA_030462695.1,6
GCA_015484465.1,21
GCA_020502005.1,8
GCA_023646635.1,28
GCA_000002515.1,1
GCA_027578335.1,27
GCA_007026445.1,21
GCA_900010015.1,28
GCA_038364125.1,30
GCA_041956655.1,8
GCA_036320775.1,20
GCA_015025155.1,22
GCA_000786625.1,25
GCA_000346795.1,8
GCF_000512605.2,12
GCA_023601865.2,8
GCA_903819455.1,24
GCA_027886635.1,19
GCA_041956615.1,16
GCA_035928505.1,28
GCA_014764975.2,17
GCA_036428645.1,12
GCA_949125775.1,1
GCA_019633595.1,21
GCA_000723665.1,27
GCF_900067095.1,17
GCA_024721195.1,21
GCA_019207435.1,5
GCA_026025805.1,28
GCA_003615165.1,17
GCA_018360275.1,11
GCA_900169345.1,28
GCA_038363885.1,30
GCA_016647755.1,21
GCA_000002945.3,28
GCA_000827495.1,21
GCA_900119595.1,1
GCA_009176405.1,8
GCA_027575675.1,27
GCA_949124925.1,1
GCA_030805415.1,12
GCA_027886315.1,19
GCA_003788595.2,28
GCA_022813615.2,28
GCA_964275045.1,1
GCA_024043135.1,10
GCA_015852375.1,26
GCF_014235925.2,23
GCA_028025245.1,28
GCA_963992775.1,12
GCA_905337355.1,28
GCA_000827185.1,21
GCF_012550715.1,18
GCA_023647215.1,28
GCF_012971845.1,9
GCF_020906515.1,12
GCA_020080175.1,28
GCA_000827335.1,21
GCA_038364195.1,30
GCA_003676015.1,5
GCA_021014935.1,21
GCA_004918915.1,-1
GCA_947243785.1,1
GCF_003426965.1,8
GCA_002008065.1,5
GCF_029532465.1,4
GCA_027946445.1,10
GCA_035927145.1,28
GCA_018360185.1,11
GCA_900096685.1,17
GCF_001640025.1,5
GCF_001447935.2,5
GCA_006352295.1,21
GCA_911639275.1,3
GCA_949124605.1,1
GCA_905071745.1,6
GCA_004918405.1,-1
GCA_020744375.1,18
GCA_040142945.1,8
GCA_027577075.1,15
GCA_900242695.1,6
GCA_001541205.1,21
GCA_000784615.1,5
GCA_033296705.1,25
GCA_015584075.1,21
GCF_001661395.1,5
GCA_027578355.1,27
GCF_000488995.1,21
GCA_025677895.1,26
GCA_003231355.1,10
GCA_024521645.1,28
GCF_029542925.1,6
GCA_019788775.1,26
GCA_004918345.1,-1
GCF_026873545.1,18
GCA_015179015.1,21
GCA_001636715.1,16
GCA_027579345.1,27
GCA_000003525.2,16
GCA_030142185.1,3
GCA_015502445.1,26
GCF_026319265.1,23
GCA_000143105.2,25
GCA_022478725.1,30
GCF_000585565.1,28
GCA_963924425.1,5
GCA_010099065.1,13
GCA_030247885.1,24
GCA_000835745.1,12
GCA_003547095.1,27
GCF_009176365.1,8
GCA_911174925.1,3
GCA_022832995.1,12
GCF_042100115.1,10
GCF_001720195.1,12
GCA_027578835.1,27
GCA_028827515.1,3
GCA_019702505.1,10
GCA_022831865.1,16
GCA_009650685.1,12
GCA_025765595.1,27
GCA_001673695.2,5
GCA_020746835.1,13
GCF_024291825.1,10
GCA_964263705.1,28
GCA_004918245.1,24
GCA_029378245.1,21
GCA_002591405.1,18
GCA_046865755.1,27
GCA_004155915.1,13
GCF_947243775.1,1
GCA_003290285.1,17
GCA_025869495.1,21
GCA_000956045.1,18
GCA_027596945.1,27
GCA_030512335.1,25
GCF_903064755.1,1
GCA_002007945.1,8
GCF_003013735.1,5
GCF_014066315.1,28
GCA_027603065.1,27
GCA_027579435.1,21
GCA_028828865.1,8
GCF_018924745.1,21
GCA_019925055.1,24
GCA_905219605.1,21
GCA_004916875.1,28
GCA_911456345.1,3
GCF_001661235.1,5
GCF_045866475.1,25
GCA_030435615.1,21
GCA_001625265.1,23
GCA_024865645.1,17
GCF_044049455.1,8
GCA_018360595.1,11
GCA_004918015.1,-1
GCA_013395995.1,17
GCA_004917555.1,24
GCA_032433605.1,31
GCA_949610685.1,5
GCA_001578235.1,20
GCF_000338955.1,20
GCF_004355905.1,30
GCF_000149335.2,16
GCA_900231935.2,10
GCA_032988165.1,16
GCA_043234895.1,28
GCA_949124735.1,1
GCF_038497795.1,4
GCA_018360325.1,11
GCA_030462685.1,6
GCF_000002715.2,8
GCA_024663475.1,21
GCA_035926085.1,24
GCA_016758985.1,27
GCA_030061015.1,8
GCA_022385585.1,30
GCA_027596845.1,27
GCA_018902385.1,28
GCA_019633465.1,21
GCA_011066585.1,0
GCA_027577275.1,27
GCA_001703955.2,14
GCA_000938895.1,27
GCA_001563125.1,2
GCA_003144605.1,18
GCA_024761605.1,20
GCA_021019025.2,5
GCA_900044135.1,14
GCF_003344945.1,7
GCA_015679535.1,26
GCA_020744115.1,14
GCA_002083745.1,27
GCA_910591765.1,27
GCA_029320655.1,21
GCA_028826875.1,8
GCA_900096595.1,21
GCA_027627345.1,30
GCA_904859935.1,12
GCA_003704385.1,20
GCA_004786205.1,28
GCA_019207175.1,5
GCA_000170175.2,16
GCA_023748825.1,6
GCA_041956735.1,24
GCA_020536175.1,1
GCF_023758065.1,10
GCA_016584205.1,21
GCA_023646655.1,28
GCA_017309865.1,17
GCA_013368375.1,21
GCA_004931855.1,5
GCF_001625195.1,13
GCF_028827695.1,8
GCF_013461495.1,28
GCA_000320585.2,21
GCF_003019875.1,28
GCA_000750805.1,29
GCF_000721775.1,24
GCA_027577035.1,27
GCA_001191645.1,21
GCA_001664025.1,1
GCA_002812745.2,28
GCF_000582985.1,2
GCA_954870535.1,14
GCF_000313525.1,21
GCA_019207315.1,5
GCF_000170995.1,13
GCA_038497925.1,4
GCA_009498055.1,5
GCA_020617735.1,15
GCA_022160315.1,21
GCA_002938375.1,21
GCA_015852425.1,26
GCA_018360075.1,11
GCA_030867255.1,23
GCF_023758015.1,10
GCA_021018975.2,5
GCA_003946985.1,18
GCA_003813205.1,21
GCA_002382855.1,8
GCF_002708625.1,27
GCA_900235035.2,5
GCA_027578575.1,27
GCA_019924185.1,24
GCA_000512565.3,12
GCA_016767475.1,21
GCF_001889945.1,7
GCA_025999795.1,8
GCA_005059845.1,20
GCF_004000055.1,0
GCA_030267685.1,5
GCA_025890175.1,28
GCA_004786145.1,28
GCA_002222245.1,12
GCA_029948375.1,28
GCA_013305805.1,5
GCA_027577215.1,27
GCA_024762025.1,20
GCF_000150115.1,16
GCF_025201355.1,27
GCA_003426235.1,13
GCA_027575625.1,27
GCA_032988185.1,16
GCA_030036495.1,1
GCA_022963135.1,6
GCA_014904935.1,21
GCA_003012105.1,13
GCA_001286725.1,21
GCA_030247845.1,-1
GCF_001890725.1,8
GCA_000697685.1,21
GCA_009428345.1,6
GCA_004786275.1,28
GCA_009193505.1,8
GCA_000218975.1,1
GCA_003614695.1,5
GCA_001602395.1,7
GCA_009982855.1,10
GCA_022578505.1,30
GCA_022160275.1,21
GCA_001692735.1,10
GCA_013368295.1,21
GCF_021436955.1,9
GCF_036417295.1,12
GCA_903819205.2,1
GCA_900162835.1,6
GCA_037126485.1,30
GCA_963924415.1,5
GCA_004337975.1,30
GCF_014898295.1,28
GCA_002894205.1,18
GCA_022813805.1,-1
GCA_027575875.1,27
GCA_000774085.1,5
GCA_013396185.1,17
GCA_022578865.1,30
GCA_026025795.1,28
GCA_900073065.1,28
GCA_014461115.1,21
GCA_022160335.1,21
GCA_900491785.1,1
GCA_022627135.1,17
GCF_021365365.1,18
GCA_019632275.1,21
GCA_019201745.1,12
GCA_949124865.1,1
GCA_038025095.1,9
GCF_022495145.1,30
GCF_027942845.1,2
GCA_022627105.1,17
GCA_021365335.1,10
GCA_019924195.1,24
GCA_023091205.1,7
GCF_003025115.1,13
GCA_020744185.1,26
GCA_030267585.1,5
GCA_027575385.1,27
GCA_024761555.1,20
GCA_027595885.1,15
GCA_016695475.1,21
GCA_037039515.2,28
GCA_002980475.2,17
GCA_022984845.1,30
GCA_022495195.1,13
GCA_004786225.1,28
GCA_038497415.1,4
GCF_001661405.1,1
GCA_002818225.1,6
GCA_000697665.1,21
GCF_008694065.1,30
GCA_001646985.1,28
GCA_002072365.1,3
GCA_002317995.1,28
GCF_000349305.1,6
GCA_029289555.1,21
GCA_002120335.1,30
GCA_000773725.1,5
GCA_004155945.1,13
GCA_023646365.1,28
GCF_010093935.1,20
GCA_946151405.1,23
GCA_011947485.2,23
GCA_009932835.1,8
GCA_018360355.1,11
GCA_022837075.1,10
GCA_037176845.1,21
GCA_005406105.1,1
GCA_001661325.1,4
GCA_029542945.1,6
GCA_030553175.1,20
GCA_014607435.1,28
GCA_000696135.1,23
GCA_028827385.1,3
GCA_000988875.2,21
GCF_033870435.1,25
GCA_000975825.2,1
GCA_013053245.1,21
GCA_026054635.1,13
GCA_004522665.1,20
GCA_000875815.1,12
GCA_001402995.1,5
GCA_022813825.1,-1
GCA_029991225.1,1
GCA_000150055.1,16
GCA_900102585.1,21
GCA_024244595.1,16
GCA_016097925.1,26
GCF_038362705.1,30
GCF_000218685.1,21
GCA_001970865.1,27
GCF_002105095.1,30
GCA_025201675.1,27
GCA_022578875.1,30
GCA_018360445.1,11
GCA_024244255.1,24
GCA_013423425.1,18
GCA_001644535.1,10
GCA_009193565.1,8
GCF_000240135.3,14
GCA_000239835.2,7
GCA_911197175.1,3
GCA_010724255.1,8
GCA_000977535.2,1
GCA_016952355.1,14
GCA_010093635.1,10
GCA_009017415.1,8
GCA_009613015.1,28
GCF_023522795.1,18
GCA_018855395.1,21
GCF_001651985.1,28
GCA_001749795.1,1
GCA_026914245.1,21
GCA_900074765.1,1
GCA_023645975.1,28
GCA_002591415.1,18
GCA_020536115.1,5
GCA_027604065.1,15
GCA_024761565.1,20
GCA_014176185.1,5
GCA_022813945.1,28
GCA_003086715.1,27
GCA_027595895.1,13
GCA_022376275.1,30
GCF_020623625.1,1
GCF_003184865.1,8
GCA_004154845.1,10
GCA_027478445.1,27
GCA_000149815.1,27
GCA_000474925.1,13
GCA_902141235.2,13
GCA_000814955.1,13
GCA_038051245.1,9
GCA_003615075.1,17
GCA_002865655.1,28
GCA_000183025.1,21
GCA_032988195.1,16
GCF_024610255.1,5
GCA_022963115.1,6
GCF_007821495.1,28
GCA_001563115.1,2
GCF_000182805.3,25
GCF_010093625.1,10
GCA_027578415.1,27
GCA_011068445.1,0
GCA_013201865.1,23
GCA_016584345.1,21
GCF_000836335.1,12
GCA_029282125.1,21
GCA_024761475.1,20
GCA_002215745.1,12
GCA_027577115.1,27
GCA_038497405.1,4
GCA_020310465.1,21
GCA_022385765.1,21
GCF_009193445.1,8
GCF_019669845.1,13
GCA_030407015.1,21
GCF_036327395.1,28
GCA_905219625.1,21
GCA_015680625.1,26
GCF_023168085.1,18
GCA_027886345.1,19
GCA_015847225.1,26
GCA_002261195.1,27
GCA_011745625.2,20
GCA_900312665.1,13
GCA_027924085.1,7
GCA_037954465.1,2
GCA_013390205.1,23
GCF_001642055.1,10
GCA_033439685.1,25
GCA_001953115.1,27
GCA_020726535.1,23
GCF_000150505.1,28
GCA_014898425.1,28
GCF_002847045.1,8
GCA_002220045.1,12
GCA_024516215.1,28
GCA_014281915.1,8
GCA_001593125.1,27
GCF_028829755.1,3
GCA_041438175.1,21
GCF_000293215.1,12
GCF_000145635.1,30
GCA_010405375.1,10
GCA_000750995.1,29
GCA_004679265.1,21
GCA_030913515.1,2
GCA_003615215.1,17
GCA_001632375.1,21
GCA_002573605.1,16
GCA_000784495.1,5
GCA_004014815.1,13
GCA_000784575.1,5
GCA_000750665.1,29
GCA_028011355.1,19
GCA_000512605.3,12
GCF_000223485.1,5
GCA_000731615.1,8
GCA_014904895.1,21
GCA_033119285.1,20
GCF_000385595.1,9
GCF_000585515.1,28
GCA_010093695.1,10
GCA_027604165.1,27
GCA_010093485.1,10
GCA_013781345.1,17
GCA_001566745.1,27
GCA_013201745.1,23
GCA_001630335.1,21
GCA_015679585.1,26
GCA_001006355.1,9
GCA_949121605.1,1
GCA_004369135.1,21
GCA_024761495.1,20
GCA_014298035.1,20
GCA_019669825.1,28
GCA_012656295.1,8
GCA_001651445.1,16
GCA_026184415.1,13
GCA_000315645.2,3
GCF_000835475.1,28
GCA_032760415.1,28
GCF_000187405.1,13
GCA_029852705.2,21
GCA_001975905.1,9
GCA_949610825.1,1
GCA_022814355.1,28
GCA_035928065.1,20
GCA_911175285.1,3
GCA_000827205.1,21
GCA_030549205.1,25
GCA_023920165.1,10
GCA_020617715.1,27
GCF_000149385.1,12
GCF_900044065.1,17
GCA_038051015.1,9
GCF_001896365.1,8
GCA_000259975.2,17
GCF_000338995.1,10
GCA_020740775.1,18
GCA_009193665.1,8
GCF_020744495.1,18
GCA_030553295.1,20
GCA_911197305.1,3
GCA_027945335.1,17
GCA_028826765.1,8
GCA_010093745.1,20
GCA_911175315.1,3
GCA_022963125.1,6
GCA_041956455.1,25
GCA_025526955.1,27
GCA_036250225.1,25
GCA_003184635.1,7
GCA_021235465.1,27
GCA_010356995.1,28
GCF_028828655.1,3
GCA_030719095.1,17
GCA_000785585.1,28
GCA_023065525.1,3
GCA_947370505.1,1
GCA_007825345.1,28
GCA_041956415.1,25
GCA_004917135.1,24
GCA_029990765.1,1
GCA_015657495.1,21
GCA_021307315.1,28
GCA_022814235.1,28
GCF_020744385.1,14
GCA_029226625.1,23
GCA_015502485.1,26
GCA_027578455.1,27
GCA_033171785.1,30
GCA_003698115.1,8
GCF_001642045.1,10
GCF_000227115.2,1
GCF_000209165.1,5
GCF_000721755.1,24
GCA_000149245.3,12
GCA_028827855.1,3
GCA_020045945.2,13
GCA_029990475.1,1
GCA_045785085.1,8
GCA_900106125.1,5
GCA_024760935.1,20
GCA_014904975.1,21
GCA_002022785.1,13
GCA_027575745.1,27
GCA_038497805.1,4
GCA_023065685.1,3
GCA_002251995.2,5
GCA_030060715.1,8
GCA_030407055.1,21
GCA_029281405.1,21
GCA_022813995.1,28
GCA_018360385.1,11
GCA_027576915.1,27
GCA_002892995.1,23
GCA_038087015.1,21
GCA_022376465.1,21
GCA_027578995.1,27
GCA_027575765.1,27
GCA_019924425.1,24
GCF_000027005.1,5
GCA_022376545.1,22
GCA_964022755.1,5
GCA_024291795.1,20
GCA_019207455.1,5
GCA_012184355.1,0
GCA_025201375.1,27
GCA_002933655.1,20
GCA_022593225.1,30
GCA_022432375.1,30
GCA_019616325.1,21
GCF_003144195.1,6
GCA_041956555.1,21
GCA_035927265.1,24
GCF_013390195.1,23
GCF_004022145.1,8
GCA_963921895.1,13
GCA_019207995.1,5
GCA_035930425.1,20
GCA_000750895.1,29
GCF_013426205.1,13
